,store_name,store_image,price
45,19티,https://img.siksinhot.com/place/1530674852155071.jpg?w=280&h=224&c=Y,4900.0
46,1FLF,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MjJfMjQ5%2FMDAxNTM3NjE5Mjc1Njc3.DRkQ830G8KRjXNpyRG8c7HKS3BAgT7oDPrc_C4zpRjgg.tPudFmvVQ74Fn9g7fup7lEV_Hxd-NJiYfR-jkh5W868g.JPEG.0604chj%2FIMG_2417.JPG&type=b400,4000.0
47,1인1상,https://img.siksinhot.com/place/1487722785963095.jpeg?w=280&h=224&c=Y,22000.0
48,1인1잔,https://img.siksinhot.com/place/1569309165239804.jpg?w=280&h=224&c=Y,4500.0
49,2 Dots Bakery,https://img.siksinhot.com/place/1552375679750036.jpg?w=280&h=224&c=Y,4500.0
50,2.5짜장,https://img.siksinhot.com/place/1462844165947587.jpg?w=280&h=224&c=Y,3000.0
51,2002 횟집,https://img.siksinhot.com/place/1518258199832433.jpg?w=280&h=224&c=Y,
52,203갈비해물집,https://img.siksinhot.com/place/1527228303186012.jpg?w=280&h=224&c=Y,49000.0
53,2046팬스테이크,https://img.siksinhot.com/place/1462932735975004.jpg?w=280&h=224&c=Y,14000.0
54,209 Lounge,https://img.siksinhot.com/place/1566282498822523.jpg?w=280&h=224&c=Y,9000.0
55,219,https://img.siksinhot.com/place/1463029269951355.jpg?w=280&h=224&c=Y,14000.0
56,22.FEB,https://img.siksinhot.com/place/1554277869748273.JPG?w=280&h=224&c=Y,8000.0
57,22번가 키친,https://img.siksinhot.com/place/1556851305348000.jpg?w=280&h=224&c=Y,11000.0
58,24시 누름돌 생고기 김치찌개,https://img.siksinhot.com/place/1517880729551235.jpg?w=280&h=224&c=Y,5500.0
59,24시 송파감자탕,https://img.siksinhot.com/place/1517880729551235.jpg?w=280&h=224&c=Y,23000.0
60,24시 양평한우해장국,https://img.siksinhot.com/place/1517880729551235.jpg?w=280&h=224&c=Y,
61,24시 우동집,https://img.siksinhot.com/place/1517880729551235.jpg?w=280&h=224&c=Y,3000.0
62,24시 전주명가콩나물국밥,https://img.siksinhot.com/place/1517880729551235.jpg?w=280&h=224&c=Y,
63,252샤브,https://img.siksinhot.com/place/1429081778876721.jpg?w=280&h=224&c=Y,19000.0
64,25카츠,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20131017_200%2Fiamgahee1_1381985587979z0UU1_JPEG%2F20131016_135219.jpg&type=b400,12000.0
65,29펍,https://img.siksinhot.com/place/1526882577669423.jpg?w=280&h=224&c=Y,29000.0
66,2층왕초밥,https://img.siksinhot.com/place/1355377152041942.jpg?w=280&h=224&c=Y,36000.0
67,300도,https://img.siksinhot.com/place/1353228227742799.jpg?w=280&h=224&c=Y,
68,30cm 왕 돈까스,https://img.siksinhot.com/place/1351044846469397.jpg?w=280&h=224&c=Y,7000.0
69,314,https://img.siksinhot.com/place/1548820349124008.jpg?w=280&h=224&c=Y,20000.0
70,3140,https://img.siksinhot.com/place/1527569470809352.PNG?w=280&h=224&c=Y,16000.0
71,3239 롯지,https://img.siksinhot.com/place/1486794937595653.jpg?w=280&h=224&c=Y,68000.0
72,33떡볶이,https://img.siksinhot.com/place/1463990798056322.jpg?w=280&h=224&c=Y,3500.0
73,33하우스,https://img.siksinhot.com/place/1375254545613609.jpg?w=280&h=224&c=Y,8000.0
74,36.5도여름,https://img.siksinhot.com/place/1563264671295133.jpg?w=280&h=224&c=Y,10000.0
75,37.5,https://img.siksinhot.com/place/1490317063022249.jpg?w=280&h=224&c=Y,17000.0
76,37그릴앤바,https://img.siksinhot.com/place/1554885500400019.jpg?w=280&h=224&c=Y,145000.0
77,38번가부대찌개,https://img.siksinhot.com/place/1463633427764166.png?w=280&h=224&c=Y,13000.0
78,393F철판요리주점,https://img.siksinhot.com/place/1467852755146277.jpg?w=280&h=224&c=Y,18500.0
79,39돈가스,https://img.siksinhot.com/place/1463367497714165.jpg?w=280&h=224&c=Y,5900.0
80,3MK,https://img.siksinhot.com/place/1468306704855916.jpg?w=280&h=224&c=Y,27000.0
81,3가식당,https://img.siksinhot.com/place/1500086364882359.PNG?w=280&h=224&c=Y,12000.0
82,3대삼계장인,https://img.siksinhot.com/place/1561618683228223.jpg?w=280&h=224&c=Y,16000.0
83,3대서가 밀면,https://img.siksinhot.com/place/1532709317148141.jpg?w=280&h=224&c=Y,6000.0
84,3일 소고기국밥,https://img.siksinhot.com/place/1573537637517713.jpg?w=280&h=224&c=Y,
85,3일한우국밥,https://img.siksinhot.com/place/1478432537277465.jpg?w=280&h=224&c=Y,8000.0
86,3호선차이나,https://img.siksinhot.com/place/1525449245445348.jpg?w=280&h=224&c=Y,
87,4 Lines Coffee,https://img.siksinhot.com/place/1472614171360339.jpg?w=280&h=224&c=Y,4500.0
88,4.19 소갈비살,https://img.siksinhot.com/place/1464240598446029.png?w=280&h=224&c=Y,
89,4.5평 우동집,https://img.siksinhot.com/place/1529290287509745.jpg?w=280&h=224&c=Y,5000.0
